>>this is for the unlock menu.
di_unlock_item_starpistol StarPistol;
di_unlock_item_glowstick Glowstick;
di_unlock_item_cheesegun CheeseGun;
di_unlock_item_partyshotty2 PartyShotty2;
di_unlock_item_fred1 DI_BonusArmor;
di_unlock_item_fred2 DI_Firestarter;
di_unlock_item_fred3 DI_LastStand;
di_unlock_item_fred4 DI_Farsight;
di_unlock_item_combobase DI_ComboDamage;
di_unlock_item_combomult DI_ComboDamageMult;
di_unlock_item_rewardsprogram DI_RewardsProgram;
di_unlock_item_creditfraud DI_CreditFraud;
